StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-10T23:00+00:00Z,2022-06-11T00:00+00:00Z,10YSE-1--------K,MAW,B12,6144
2022-06-11T00:00+00:00Z,2022-06-11T01:00+00:00Z,10YSE-1--------K,MAW,B12,6131
2022-06-11T01:00+00:00Z,2022-06-11T02:00+00:00Z,10YSE-1--------K,MAW,B12,6178
2022-06-11T02:00+00:00Z,2022-06-11T03:00+00:00Z,10YSE-1--------K,MAW,B12,6277
2022-06-11T03:00+00:00Z,2022-06-11T04:00+00:00Z,10YSE-1--------K,MAW,B12,6766
2022-06-11T04:00+00:00Z,2022-06-11T05:00+00:00Z,10YSE-1--------K,MAW,B12,7076
2022-06-11T05:00+00:00Z,2022-06-11T06:00+00:00Z,10YSE-1--------K,MAW,B12,7091
2022-06-11T06:00+00:00Z,2022-06-11T07:00+00:00Z,10YSE-1--------K,MAW,B12,6979
2022-06-11T07:00+00:00Z,2022-06-11T08:00+00:00Z,10YSE-1--------K,MAW,B12,6670
2022-06-11T08:00+00:00Z,2022-06-11T09:00+00:00Z,10YSE-1--------K,MAW,B12,6402
2022-06-11T09:00+00:00Z,2022-06-11T10:00+00:00Z,10YSE-1--------K,MAW,B12,6136
2022-06-11T10:00+00:00Z,2022-06-11T11:00+00:00Z,10YSE-1--------K,MAW,B12,5915
2022-06-11T11:00+00:00Z,2022-06-11T12:00+00:00Z,10YSE-1--------K,MAW,B12,5817
2022-06-11T12:00+00:00Z,2022-06-11T13:00+00:00Z,10YSE-1--------K,MAW,B12,5932
2022-06-11T13:00+00:00Z,2022-06-11T14:00+00:00Z,10YSE-1--------K,MAW,B12,6038
2022-06-11T14:00+00:00Z,2022-06-11T15:00+00:00Z,10YSE-1--------K,MAW,B12,6146
